providerName,providerNationalID,avgCoveredCharges,averagePayments
AUSTIN SURGICAL HOSPITAL,450871,60038,11902
HEART HOSPITAL OF AUSTIN,450824,49594,8317
NORTH AUSTIN MEDICAL CENTER,450809,47748,9293
NORTHWEST HILLS SURGICAL HOSPITAL,450808,31215,12036
SETON  NORTHWEST HOSPITAL,450867,43999,7836
SETON MEDICAL CENTER AUSTIN,450056,57439,9761
SETON SOUTHWEST HOSPITAL,450865,21095,4404
ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,450713,50013,9047
ST DAVIDS MEDICAL CENTER,450431,44009,10920
THE HOSPITAL AT WESTLAKE MEDICAL CENTER,670006,31239,16525
UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE,450124,37011,9756
