providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,24153,8459
CEDARS-SINAI MEDICAL CENTER,50625,59412,7682
EAST LOS ANGELES DOCTORS HOSPITAL,50641,27762,8004
GOOD SAMARITAN HOSPITAL,50471,40673,7371
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,31081,8748
KAISER FOUNDATION HOSPITAL - WEST LA,50561,22236,4917
KECK HOSPITAL OF USC,50696,38276,7959
LAC+USC MEDICAL CENTER,50373,41011,11678
LOS ANGELES COMMUNITY HOSPITAL,50663,20379,7969
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,31444,7666
OLYMPIA MEDICAL CENTER,50742,57339,5779
PACIFIC ALLIANCE MEDICAL CENTER,50018,16561,8988
RONALD REAGAN UCLA MEDICAL CENTER,50262,36041,11596
SAINT VINCENT MEDICAL CENTER,50502,36669,8175
SILVER LAKE MEDICAL CENTER,50763,20778,8275
TEMPLE COMMUNITY HOSPITAL,50111,36928,7235
WHITE MEMORIAL MEDICAL CENTER,50103,39185,8328
