providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,38095,12432
CEDARS-SINAI MEDICAL CENTER,50625,94985,12095
GOOD SAMARITAN HOSPITAL,50471,50857,10902
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,52116,12970
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,34796,10788
KECK HOSPITAL OF USC,50696,82712,12140
LAC+USC MEDICAL CENTER,50373,81605,21090
LOS ANGELES COMMUNITY HOSPITAL,50663,24080,11451
OLYMPIA MEDICAL CENTER,50742,78830,8643
PACIFIC ALLIANCE MEDICAL CENTER,50018,21805,12989
RONALD REAGAN UCLA MEDICAL CENTER,50262,62601,15518
SAINT VINCENT MEDICAL CENTER,50502,52464,11321
WHITE MEMORIAL MEDICAL CENTER,50103,71537,12468
