providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,25752,7537
CEDARS-SINAI MEDICAL CENTER,50625,54625,6683
EAST LOS ANGELES DOCTORS HOSPITAL,50641,21355,7180
GOOD SAMARITAN HOSPITAL,50471,35899,6504
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,27550,7708
KAISER FOUNDATION HOSPITAL - WEST LA,50561,16396,4427
KECK HOSPITAL OF USC,50696,35125,7077
LOS ANGELES COMMUNITY HOSPITAL,50663,18877,7076
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,27599,6573
OLYMPIA MEDICAL CENTER,50742,44548,5094
PACIFIC ALLIANCE MEDICAL CENTER,50018,15026,7975
RONALD REAGAN UCLA MEDICAL CENTER,50262,31709,9358
SAINT VINCENT MEDICAL CENTER,50502,30291,7159
SILVER LAKE MEDICAL CENTER,50763,21726,7323
TEMPLE COMMUNITY HOSPITAL,50111,26202,6363
WHITE MEMORIAL MEDICAL CENTER,50103,37074,7423
