providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,30911,10841
CEDARS-SINAI MEDICAL CENTER,50625,88191,13382
EAST LOS ANGELES DOCTORS HOSPITAL,50641,31528,10634
GOOD SAMARITAN HOSPITAL,50471,51629,9603
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,44408,11318
KECK HOSPITAL OF USC,50696,59202,10862
LAC+USC MEDICAL CENTER,50373,56323,15175
LOS ANGELES COMMUNITY HOSPITAL,50663,21864,10215
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,49467,9742
OLYMPIA MEDICAL CENTER,50742,71088,7587
PACIFIC ALLIANCE MEDICAL CENTER,50018,22554,11440
RONALD REAGAN UCLA MEDICAL CENTER,50262,60652,15375
SAINT VINCENT MEDICAL CENTER,50502,48758,10575
SILVER LAKE MEDICAL CENTER,50763,27944,10739
TEMPLE COMMUNITY HOSPITAL,50111,34308,9423
WHITE MEMORIAL MEDICAL CENTER,50103,47559,10912
