providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,41063,14179
CEDARS-SINAI MEDICAL CENTER,50625,122791,16852
EAST LOS ANGELES DOCTORS HOSPITAL,50641,41234,12460
GOOD SAMARITAN HOSPITAL,50471,74430,14752
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,63192,15449
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,47288,16475
KAISER FOUNDATION HOSPITAL - WEST LA,50561,24958,7554
KECK HOSPITAL OF USC,50696,99331,16505
LAC+USC MEDICAL CENTER,50373,50867,14824
LOS ANGELES COMMUNITY HOSPITAL,50663,38275,13050
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,60367,12712
OLYMPIA MEDICAL CENTER,50742,102539,11086
PACIFIC ALLIANCE MEDICAL CENTER,50018,28005,14179
RONALD REAGAN UCLA MEDICAL CENTER,50262,78460,22674
SAINT VINCENT MEDICAL CENTER,50502,68890,14789
SILVER LAKE MEDICAL CENTER,50763,34394,11347
TEMPLE COMMUNITY HOSPITAL,50111,33971,8713
WHITE MEMORIAL MEDICAL CENTER,50103,82171,15848
