providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,22157,7802
CEDARS-SINAI MEDICAL CENTER,50625,60598,8249
GOOD SAMARITAN HOSPITAL,50471,45881,6815
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,30548,7973
LAC+USC MEDICAL CENTER,50373,19507,9193
LOS ANGELES COMMUNITY HOSPITAL,50663,22978,7376
OLYMPIA MEDICAL CENTER,50742,56103,5340
PACIFIC ALLIANCE MEDICAL CENTER,50018,16403,8294
SAINT VINCENT MEDICAL CENTER,50502,33919,7560
TEMPLE COMMUNITY HOSPITAL,50111,27954,6605
