providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,27106,8649
CEDARS-SINAI MEDICAL CENTER,50625,68657,8081
GOOD SAMARITAN HOSPITAL,50471,42193,7519
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,33772,8915
KECK HOSPITAL OF USC,50696,34638,7720
LAC+USC MEDICAL CENTER,50373,20997,10541
LOS ANGELES COMMUNITY HOSPITAL,50663,25878,8137
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,39274,8851
OLYMPIA MEDICAL CENTER,50742,50438,5895
PACIFIC ALLIANCE MEDICAL CENTER,50018,15508,9234
RONALD REAGAN UCLA MEDICAL CENTER,50262,29033,10088
SAINT VINCENT MEDICAL CENTER,50502,27503,8147
SILVER LAKE MEDICAL CENTER,50763,25683,8425
TEMPLE COMMUNITY HOSPITAL,50111,33177,7320
WHITE MEMORIAL MEDICAL CENTER,50103,35699,8681
