providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,19936,7420
CEDARS-SINAI MEDICAL CENTER,50625,58592,6537
GOOD SAMARITAN HOSPITAL,50471,35232,6429
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,25183,7678
KECK HOSPITAL OF USC,50696,61720,7859
LAC+USC MEDICAL CENTER,50373,20490,9075
OLYMPIA MEDICAL CENTER,50742,51450,5077
PACIFIC ALLIANCE MEDICAL CENTER,50018,14458,7949
RONALD REAGAN UCLA MEDICAL CENTER,50262,26279,8919
SAINT VINCENT MEDICAL CENTER,50502,32249,7156
TEMPLE COMMUNITY HOSPITAL,50111,29739,6305
WHITE MEMORIAL MEDICAL CENTER,50103,33227,7333
