providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,51699,19785
CEDARS-SINAI MEDICAL CENTER,50625,126175,20382
EAST LOS ANGELES DOCTORS HOSPITAL,50641,79075,19576
GOOD SAMARITAN HOSPITAL,50471,56952,16111
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,90131,18769
KECK HOSPITAL OF USC,50696,132431,22276
LOS ANGELES COMMUNITY HOSPITAL,50663,41012,18558
OLYMPIA MEDICAL CENTER,50742,124400,13186
PACIFIC ALLIANCE MEDICAL CENTER,50018,27236,18813
RONALD REAGAN UCLA MEDICAL CENTER,50262,93348,26770
SAINT VINCENT MEDICAL CENTER,50502,70512,18033
WHITE MEMORIAL MEDICAL CENTER,50103,89867,19490
