providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,20409,5965
CEDARS-SINAI MEDICAL CENTER,50625,43715,5095
GOOD SAMARITAN HOSPITAL,50471,31148,5139
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,31580,6161
LOS ANGELES COMMUNITY HOSPITAL,50663,15356,5626
OLYMPIA MEDICAL CENTER,50742,50823,4203
RONALD REAGAN UCLA MEDICAL CENTER,50262,27217,7193
SAINT VINCENT MEDICAL CENTER,50502,33825,5733
SILVER LAKE MEDICAL CENTER,50763,23308,5825
TEMPLE COMMUNITY HOSPITAL,50111,19559,5059
WHITE MEMORIAL MEDICAL CENTER,50103,29104,5964
