providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,28250,9117
CEDARS-SINAI MEDICAL CENTER,50625,64173,7927
EAST LOS ANGELES DOCTORS HOSPITAL,50641,21077,8536
GOOD SAMARITAN HOSPITAL,50471,40741,7921
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,35331,9397
LOS ANGELES COMMUNITY HOSPITAL,50663,12146,8557
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,37025,8211
OLYMPIA MEDICAL CENTER,50742,59842,6282
PACIFIC ALLIANCE MEDICAL CENTER,50018,20841,9732
RONALD REAGAN UCLA MEDICAL CENTER,50262,41235,11709
SAINT VINCENT MEDICAL CENTER,50502,40240,8683
TEMPLE COMMUNITY HOSPITAL,50111,30754,7716
WHITE MEMORIAL MEDICAL CENTER,50103,49195,9201
