providerName,providerNationalID,avgCoveredCharges,averagePayments
CEDARS-SINAI MEDICAL CENTER,50625,89984,10742
GOOD SAMARITAN HOSPITAL,50471,36486,9365
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,40346,11136
KECK HOSPITAL OF USC,50696,73051,10753
LOS ANGELES COMMUNITY HOSPITAL,50663,25861,10162
OLYMPIA MEDICAL CENTER,50742,68078,7363
PACIFIC ALLIANCE MEDICAL CENTER,50018,16628,11528
RONALD REAGAN UCLA MEDICAL CENTER,50262,62468,16088
SAINT VINCENT MEDICAL CENTER,50502,52083,10550
SILVER LAKE MEDICAL CENTER,50763,35290,10516
TEMPLE COMMUNITY HOSPITAL,50111,32285,9144
WHITE MEMORIAL MEDICAL CENTER,50103,47167,10720
