providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,43332,13060
CEDARS-SINAI MEDICAL CENTER,50625,92456,12645
GOOD SAMARITAN HOSPITAL,50471,58769,11500
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,43973,13178
LOS ANGELES COMMUNITY HOSPITAL,50663,27946,12061
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,58700,12606
OLYMPIA MEDICAL CENTER,50742,94265,10625
RONALD REAGAN UCLA MEDICAL CENTER,50262,63180,19672
SAINT VINCENT MEDICAL CENTER,50502,56466,12674
SILVER LAKE MEDICAL CENTER,50763,37974,12884
WHITE MEMORIAL MEDICAL CENTER,50103,54235,12506
