providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,78710,32084
CEDARS-SINAI MEDICAL CENTER,50625,223951,36610
GOOD SAMARITAN HOSPITAL,50471,124933,29682
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,134183,33815
KECK HOSPITAL OF USC,50696,145044,32958
LOS ANGELES COMMUNITY HOSPITAL,50663,41669,30472
OLYMPIA MEDICAL CENTER,50742,180364,22247
RONALD REAGAN UCLA MEDICAL CENTER,50262,101052,37306
SAINT VINCENT MEDICAL CENTER,50502,128398,29640
WHITE MEMORIAL MEDICAL CENTER,50103,140451,33316
