providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,26588,9065
CEDARS-SINAI MEDICAL CENTER,50625,55842,8035
EAST LOS ANGELES DOCTORS HOSPITAL,50641,19584,8697
GOOD SAMARITAN HOSPITAL,50471,42382,7839
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,33057,9212
KECK HOSPITAL OF USC,50696,37157,8335
LAC+USC MEDICAL CENTER,50373,24312,11194
LOS ANGELES COMMUNITY HOSPITAL,50663,21158,8462
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,29182,7625
OLYMPIA MEDICAL CENTER,50742,63865,6174
PACIFIC ALLIANCE MEDICAL CENTER,50018,15490,9614
RONALD REAGAN UCLA MEDICAL CENTER,50262,32300,11060
SAINT VINCENT MEDICAL CENTER,50502,36379,8856
SILVER LAKE MEDICAL CENTER,50763,22915,8559
TEMPLE COMMUNITY HOSPITAL,50111,28050,7707
WHITE MEMORIAL MEDICAL CENTER,50103,35536,8865
