providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,28938,10991
CEDARS-SINAI MEDICAL CENTER,50625,87186,11148
GOOD SAMARITAN HOSPITAL,50471,50446,9364
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,42530,11171
KECK HOSPITAL OF USC,50696,54475,10523
LAC+USC MEDICAL CENTER,50373,67045,17731
LOS ANGELES COMMUNITY HOSPITAL,50663,40688,10218
LOS ANGELES METROPOLITAN MEDICAL CTR,50644,56317,9697
OLYMPIA MEDICAL CENTER,50742,85293,7431
PACIFIC ALLIANCE MEDICAL CENTER,50018,20160,10996
RONALD REAGAN UCLA MEDICAL CENTER,50262,49760,14136
SAINT VINCENT MEDICAL CENTER,50502,50635,10743
TEMPLE COMMUNITY HOSPITAL,50111,43864,9340
WHITE MEMORIAL MEDICAL CENTER,50103,48797,10706
