providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,38030,9294
CEDARS-SINAI MEDICAL CENTER,50625,67314,7788
GOOD SAMARITAN HOSPITAL,50471,39514,7712
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,34959,9192
LOS ANGELES COMMUNITY HOSPITAL,50663,17124,8318
OLYMPIA MEDICAL CENTER,50742,52843,6077
RONALD REAGAN UCLA MEDICAL CENTER,50262,45360,12965
SAINT VINCENT MEDICAL CENTER,50502,40634,8489
TEMPLE COMMUNITY HOSPITAL,50111,23594,7512
WHITE MEMORIAL MEDICAL CENTER,50103,55326,9080
