providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,31922,8348
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,35300,9410
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,29942,7623
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,32798,7846
MARYVALE HOSPITAL,30001,22356,10163
MAYO CLINIC HOSPITAL,30103,23658,9998
PARADISE VALLEY HOSPITAL,30083,23377,10685
PHOENIX BAPTIST HOSPITAL,30030,28968,8806
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,40875,12213
ST LUKES MEDICAL CENTER,30037,42569,8440
