providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,37421,9151
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,46108,11984
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,43445,9564
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,40870,9625
MARICOPA MEDICAL CENTER,30022,50691,17526
MARYVALE HOSPITAL,30001,30148,10440
MAYO CLINIC HOSPITAL,30103,31126,11843
OASIS HOSPITAL,30131,33161,10484
PARADISE VALLEY HOSPITAL,30083,29931,8642
PHOENIX BAPTIST HOSPITAL,30030,45372,13424
PHOENIX INDIAN MEDICAL CENTER,30078,11008,10218
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,57243,14147
ST LUKES MEDICAL CENTER,30037,58625,12531
SURGICAL SPECIALTY HOSPITAL OF ARIZONA,30108,30901,11936
