providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,83252,16240
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,77691,17698
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,51814,14719
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,75728,14879
MARICOPA MEDICAL CENTER,30022,91384,27925
MARYVALE HOSPITAL,30001,43354,19344
MAYO CLINIC HOSPITAL,30103,59608,18154
PARADISE VALLEY HOSPITAL,30083,52932,15579
PHOENIX BAPTIST HOSPITAL,30030,52006,17071
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,82618,19394
ST LUKES MEDICAL CENTER,30037,101782,16178
