providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,31328,7129
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,26631,8052
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,30070,6697
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,29123,7001
MARYVALE HOSPITAL,30001,27969,8856
MAYO CLINIC HOSPITAL,30103,20360,8420
PARADISE VALLEY HOSPITAL,30083,27579,7016
PHOENIX BAPTIST HOSPITAL,30030,21553,7751
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,43836,9630
ST LUKES MEDICAL CENTER,30037,27379,6823
