providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,27109,7037
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,27485,8036
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,25967,6530
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,26928,6574
MARICOPA MEDICAL CENTER,30022,24770,11832
MAYO CLINIC HOSPITAL,30103,19435,8064
PARADISE VALLEY HOSPITAL,30083,22488,6834
PHOENIX BAPTIST HOSPITAL,30030,21123,7300
PHOENIX INDIAN MEDICAL CENTER,30078,9957,12067
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,29159,8926
ST LUKES MEDICAL CENTER,30037,35654,8903
