providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,23544,5654
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,22166,5970
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,22842,5042
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,18463,5179
MAYO CLINIC HOSPITAL,30103,14339,6027
PARADISE VALLEY HOSPITAL,30083,17340,5414
PHOENIX BAPTIST HOSPITAL,30030,15042,5679
PHOENIX INDIAN MEDICAL CENTER,30078,9836,9377
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,21319,7046
ST LUKES MEDICAL CENTER,30037,28000,5615
