providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,57801,16402
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,46251,15349
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,62227,14024
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,59843,13698
MAYO CLINIC HOSPITAL,30103,41182,15300
OASIS HOSPITAL,30131,33161,10484
PARADISE VALLEY HOSPITAL,30083,45775,14384
PHOENIX BAPTIST HOSPITAL,30030,49642,15910
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,66570,19224
ST LUKES MEDICAL CENTER,30037,73911,16458
SURGICAL SPECIALTY HOSPITAL OF ARIZONA,30108,37766,11435
