providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,61380,13841
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,58494,15121
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,49917,12265
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,46140,12181
MARICOPA MEDICAL CENTER,30022,79643,24585
MARYVALE HOSPITAL,30001,45007,15897
MAYO CLINIC HOSPITAL,30103,35782,15249
PARADISE VALLEY HOSPITAL,30083,44990,12888
PHOENIX BAPTIST HOSPITAL,30030,50196,14084
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,52820,15795
ST LUKES MEDICAL CENTER,30037,58124,13683
