providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,24522,6062
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,20927,6534
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,19934,5994
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,18526,5393
MARICOPA MEDICAL CENTER,30022,29196,10795
MARYVALE HOSPITAL,30001,23812,7246
MAYO CLINIC HOSPITAL,30103,14492,6894
PARADISE VALLEY HOSPITAL,30083,18962,5695
PHOENIX BAPTIST HOSPITAL,30030,14254,6217
PHOENIX INDIAN MEDICAL CENTER,30078,12651,9538
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,18428,7139
ST LUKES MEDICAL CENTER,30037,25971,5993
