providerName,providerNationalID,avgCoveredCharges,averagePayments
BANNER ESTRELLA MEDICAL CENTER,30115,23565,5355
BANNER GOOD SAMARITAN MEDICAL CENTER,30002,21694,5761
JOHN C LINCOLN DEER VALLEY HOSPITAL,30092,23818,4662
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,30014,20404,4739
MARICOPA MEDICAL CENTER,30022,18682,8695
MAYO CLINIC HOSPITAL,30103,16245,5952
PARADISE VALLEY HOSPITAL,30083,20504,5003
PHOENIX BAPTIST HOSPITAL,30030,21532,5447
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,19723,7079
ST LUKES MEDICAL CENTER,30037,28780,5178
