providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,28076,3505
DESERT SPRINGS HOSPITAL,290022,30117,3979
MOUNTAINVIEW HOSPITAL,290039,28912,3807
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,24821,4218
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,16860,3953
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,26027,3987
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,26162,4136
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,31122,4681
UMC OF SOUTHERN NEVADA,290007,21563,5101
VALLEY HOSPITAL MEDICAL CENTER,290021,27277,4578
