providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,35696,6245
DESERT SPRINGS HOSPITAL,290022,37305,4974
MOUNTAINVIEW HOSPITAL,290039,37782,5477
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,28549,4872
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,31142,5256
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,34822,5541
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,35407,5256
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,41231,5923
UMC OF SOUTHERN NEVADA,290007,24602,7169
VALLEY HOSPITAL MEDICAL CENTER,290021,35285,6052
