providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,31814,4202
DESERT SPRINGS HOSPITAL,290022,26158,4436
MOUNTAINVIEW HOSPITAL,290039,33556,4419
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,27489,4349
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,26619,4697
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,30593,4684
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,34721,4598
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,34697,5303
UMC OF SOUTHERN NEVADA,290007,24661,6699
VALLEY HOSPITAL MEDICAL CENTER,290021,31538,5397
