providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,79792,12404
DESERT SPRINGS HOSPITAL,290022,97100,12480
MOUNTAINVIEW HOSPITAL,290039,122883,15008
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,80449,11557
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,62849,12047
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,91986,12496
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,95860,11713
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,113204,20553
UMC OF SOUTHERN NEVADA,290007,62928,16969
VALLEY HOSPITAL MEDICAL CENTER,290021,91082,16130
