providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,64860,10793
DESERT SPRINGS HOSPITAL,290022,75313,10899
MOUNTAINVIEW HOSPITAL,290039,84786,11324
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,56331,10752
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,88790,11429
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,125604,13184
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,79183,11855
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,90310,13259
UMC OF SOUTHERN NEVADA,290007,50353,14266
VALLEY HOSPITAL MEDICAL CENTER,290021,92383,13741
