providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,28217,4431
DESERT SPRINGS HOSPITAL,290022,33328,4409
MOUNTAINVIEW HOSPITAL,290039,27809,4312
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,27551,4216
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,29418,4618
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,29123,4577
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,34921,4590
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,34073,5174
UMC OF SOUTHERN NEVADA,290007,32353,7292
VALLEY HOSPITAL MEDICAL CENTER,290021,32097,5519
