providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,32537,4391
DESERT SPRINGS HOSPITAL,290022,29950,4628
MOUNTAINVIEW HOSPITAL,290039,37362,4758
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,42525,4567
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,38610,4658
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,30600,4911
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,33423,4868
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,42411,5578
UMC OF SOUTHERN NEVADA,290007,28508,6740
VALLEY HOSPITAL MEDICAL CENTER,290021,28484,5575
