providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,33804,4580
DESERT SPRINGS HOSPITAL,290022,39181,4945
MOUNTAINVIEW HOSPITAL,290039,37660,4796
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,34209,5043
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,30920,4932
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,33448,4868
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,39452,5022
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,37980,5612
UMC OF SOUTHERN NEVADA,290007,24936,6708
VALLEY HOSPITAL MEDICAL CENTER,290021,32683,5586
