providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,94396,12780
DESERT SPRINGS HOSPITAL,290022,89579,12374
MOUNTAINVIEW HOSPITAL,290039,112040,13719
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,74786,12452
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,113286,14714
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,122813,14369
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,104040,13256
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,109124,15142
UMC OF SOUTHERN NEVADA,290007,81382,18710
VALLEY HOSPITAL MEDICAL CENTER,290021,115303,15383
