providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,97222,14074
DESERT SPRINGS HOSPITAL,290022,110865,17717
MOUNTAINVIEW HOSPITAL,290039,121303,15732
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,106930,14528
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,153460,22431
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,116395,15477
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,117458,15197
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,125726,17529
UMC OF SOUTHERN NEVADA,290007,79170,20759
VALLEY HOSPITAL MEDICAL CENTER,290021,154729,19480
