providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,56934,7008
DESERT SPRINGS HOSPITAL,290022,48628,6999
MOUNTAINVIEW HOSPITAL,290039,59186,7320
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,37237,6418
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,40231,6982
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,57128,6834
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,51689,6949
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,62135,8262
UMC OF SOUTHERN NEVADA,290007,38060,8947
VALLEY HOSPITAL MEDICAL CENTER,290021,70593,8446
