providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,31419,4971
DESERT SPRINGS HOSPITAL,290022,29531,5307
MOUNTAINVIEW HOSPITAL,290039,38949,5233
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,31591,4995
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,30108,5775
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,30273,5598
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,33440,5086
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,34585,6056
UMC OF SOUTHERN NEVADA,290007,27027,7199
VALLEY HOSPITAL MEDICAL CENTER,290021,28715,6209
