providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,99017,15094
DESERT SPRINGS HOSPITAL,290022,117478,14716
MOUNTAINVIEW HOSPITAL,290039,71944,14349
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,71950,13894
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,74897,14947
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,115376,13803
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,118996,14405
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,75948,16038
UMC OF SOUTHERN NEVADA,290007,71358,17797
VALLEY HOSPITAL MEDICAL CENTER,290021,110359,16095
