providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,59591,7685
DESERT SPRINGS HOSPITAL,290022,71596,10167
MOUNTAINVIEW HOSPITAL,290039,74565,10306
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,56805,9123
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,71586,11897
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,74603,10003
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,75756,9786
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,76329,12043
UMC OF SOUTHERN NEVADA,290007,53681,13072
VALLEY HOSPITAL MEDICAL CENTER,290021,76582,11359
