providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,46356,5216
DESERT SPRINGS HOSPITAL,290022,30011,5179
MOUNTAINVIEW HOSPITAL,290039,28386,5128
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,35500,4813
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,24574,5082
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,38851,5631
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,33149,5504
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,35626,6127
UMC OF SOUTHERN NEVADA,290007,26855,6922
VALLEY HOSPITAL MEDICAL CENTER,290021,28149,6758
