providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,40445,6179
DESERT SPRINGS HOSPITAL,290022,54072,7295
MOUNTAINVIEW HOSPITAL,290039,59745,8171
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,38204,7163
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,55853,6985
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,56304,7518
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,51962,7049
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,53998,7725
UMC OF SOUTHERN NEVADA,290007,29078,9589
VALLEY HOSPITAL MEDICAL CENTER,290021,51194,8276
