providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR UNIVERSITY MEDICAL CENTER,450021,18672,7784
DALLAS MEDICAL CENTER,450379,38913,6305
DOCTORS HOSPITAL,450678,44892,6087
MEDICAL CITY DALLAS HOSPITAL,450647,44123,6464
METHODIST CHARLTON MEDICAL CENTER,450723,26572,6593
METHODIST DALLAS MEDICAL CENTER,450051,24492,8763
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,27736,11121
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,38622,8052
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,26018,6782
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,21337,7799
