providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR UNIVERSITY MEDICAL CENTER,450021,24922,7953
DALLAS MEDICAL CENTER,450379,31132,6222
DOCTORS HOSPITAL,450678,51535,5905
MEDICAL CITY DALLAS HOSPITAL,450647,56558,8696
METHODIST CHARLTON MEDICAL CENTER,450723,28721,6936
METHODIST DALLAS MEDICAL CENTER,450051,28519,8948
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,22418,10740
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,35451,7690
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,26265,6514
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,25969,7584
