providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR HEART AND VASCULAR HOSPITAL,450851,12087,5709
BAYLOR UNIVERSITY MEDICAL CENTER,450021,19341,7805
DALLAS MEDICAL CENTER,450379,33585,6220
DOCTORS HOSPITAL,450678,48749,6229
MEDICAL CITY DALLAS HOSPITAL,450647,46780,6691
METHODIST CHARLTON MEDICAL CENTER,450723,23047,6899
METHODIST DALLAS MEDICAL CENTER,450051,26667,8816
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,29447,11314
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,35907,8767
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,29491,6582
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,33223,9228
