providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR UNIVERSITY MEDICAL CENTER,450021,47106,15538
DALLAS MEDICAL CENTER,450379,62162,12140
DOCTORS HOSPITAL,450678,102682,11440
MEDICAL CITY DALLAS HOSPITAL,450647,104203,14777
METHODIST CHARLTON MEDICAL CENTER,450723,40948,12420
METHODIST DALLAS MEDICAL CENTER,450051,50378,16046
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,70090,21668
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,56059,13672
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,54243,12561
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,77582,18040
