providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR HEART AND VASCULAR HOSPITAL,450851,25296,8938
BAYLOR UNIVERSITY MEDICAL CENTER,450021,30671,11781
DOCTORS HOSPITAL,450678,76748,8842
MEDICAL CITY DALLAS HOSPITAL,450647,67924,9806
METHODIST CHARLTON MEDICAL CENTER,450723,37825,9677
METHODIST DALLAS MEDICAL CENTER,450051,29934,11936
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,55468,18189
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,50763,13071
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,41263,9415
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,54780,14024
