providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR UNIVERSITY MEDICAL CENTER,450021,20926,6140
DALLAS MEDICAL CENTER,450379,16923,4416
DOCTORS HOSPITAL,450678,35402,4294
MEDICAL CITY DALLAS HOSPITAL,450647,39997,5853
METHODIST CHARLTON MEDICAL CENTER,450723,22664,4700
METHODIST DALLAS MEDICAL CENTER,450051,20804,6423
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,24430,8137
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,28178,5576
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,21017,4848
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,21984,5683
