providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR UNIVERSITY MEDICAL CENTER,450021,27436,8994
DALLAS MEDICAL CENTER,450379,38046,7340
DOCTORS HOSPITAL,450678,50578,6815
MEDICAL CITY DALLAS HOSPITAL,450647,69993,7750
METHODIST CHARLTON MEDICAL CENTER,450723,30781,7930
METHODIST DALLAS MEDICAL CENTER,450051,28307,10058
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,30411,12963
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,41200,8992
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,31341,7683
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,37019,9237
