providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR HEART AND VASCULAR HOSPITAL,450851,21960,6555
BAYLOR UNIVERSITY MEDICAL CENTER,450021,37274,9226
DALLAS MEDICAL CENTER,450379,34412,6618
DOCTORS HOSPITAL,450678,45740,6454
MEDICAL CITY DALLAS HOSPITAL,450647,62375,8771
METHODIST CHARLTON MEDICAL CENTER,450723,34696,7007
METHODIST DALLAS MEDICAL CENTER,450051,28748,9290
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,56356,15542
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,26339,7578
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,49257,9733
