providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR UNIVERSITY MEDICAL CENTER,450021,20843,6709
DALLAS MEDICAL CENTER,450379,27368,5157
DOCTORS HOSPITAL,450678,36130,4871
MEDICAL CITY DALLAS HOSPITAL,450647,30670,5808
METHODIST CHARLTON MEDICAL CENTER,450723,18784,5708
METHODIST DALLAS MEDICAL CENTER,450051,17190,7220
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,20080,8917
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,21408,6175
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,22162,5520
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,19676,6398
