providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,53668,6854
DOCTORS HOSPITAL TIDWELL,450803,25281,8348
HARRIS COUNTY HOSPITAL DISTRICT,450289,15019,10156
HOUSTON NORTHWEST MEDICAL CENTER,450638,54566,6614
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,21176,7103
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,22388,6529
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,24304,9940
METHODIST HOSPITALTHE,450358,38220,7346
METHODIST WILLOWBROOK HOSPITAL,450844,45128,5966
PARK PLAZA HOSPITAL,450659,56976,6965
ST ANTHONY'S HOSPITAL,450795,27899,6220
ST JOSEPH MEDICAL CENTER,450035,38568,8882
ST LUKE'S HOSPITAL AT THE VINTAGE LLC,670075,30700,5211
ST LUKES EPISCOPAL HOSPITAL,450193,34140,7232
WEST HOUSTON MEDICAL CENTER,450644,35083,7123
