providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,32321,5621
DOCTORS HOSPITAL TIDWELL,450803,19303,6946
HARRIS COUNTY HOSPITAL DISTRICT,450289,18061,8569
HOUSTON NORTHWEST MEDICAL CENTER,450638,32751,5560
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,16239,5941
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,15760,4881
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,17261,8137
METHODIST HOSPITALTHE,450358,26688,6201
METHODIST WILLOWBROOK HOSPITAL,450844,29451,4919
PARK PLAZA HOSPITAL,450659,37526,5497
ST JOSEPH MEDICAL CENTER,450035,22198,7106
ST LUKE'S HOSPITAL AT THE VINTAGE LLC,670075,27816,4300
ST LUKES EPISCOPAL HOSPITAL,450193,23254,7376
UNIVERSITY GENERAL HOSPITAL,670019,27276,5333
WEST HOUSTON MEDICAL CENTER,450644,25376,5740
