providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,34137,5230
DOCTORS HOSPITAL TIDWELL,450803,17136,6450
HARRIS COUNTY HOSPITAL DISTRICT,450289,13794,7893
HOUSTON NORTHWEST MEDICAL CENTER,450638,31745,5151
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,17661,5681
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,18668,4960
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,20966,8104
METHODIST HOSPITALTHE,450358,28242,5767
METHODIST WEST HOUSTON HOSPITAL,670077,22316,4278
METHODIST WILLOWBROOK HOSPITAL,450844,29999,4657
PARK PLAZA HOSPITAL,450659,39482,5259
ST ANTHONY'S HOSPITAL,450795,17242,4849
ST JOSEPH MEDICAL CENTER,450035,27702,6853
ST LUKE'S HOSPITAL AT THE VINTAGE LLC,670075,27220,4010
ST LUKES EPISCOPAL HOSPITAL,450193,22622,5738
WEST HOUSTON MEDICAL CENTER,450644,28607,5494
