providerName,providerNationalID,avgCoveredCharges,averagePayments
HOUSTON NORTHWEST MEDICAL CENTER,450638,53844,11407
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,39848,12668
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,37891,10613
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,53412,17089
METHODIST HOSPITALTHE,450358,68751,13681
METHODIST WILLOWBROOK HOSPITAL,450844,54920,10556
PARK PLAZA HOSPITAL,450659,70850,10488
ST JOSEPH MEDICAL CENTER,450035,53448,15077
ST LUKES EPISCOPAL HOSPITAL,450193,53774,12732
WEST HOUSTON MEDICAL CENTER,450644,58755,12086
