providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,31974,5367
HOUSTON NORTHWEST MEDICAL CENTER,450638,34510,5307
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,22776,5741
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,22638,5038
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,29773,8324
METHODIST HOSPITALTHE,450358,29929,6169
METHODIST WILLOWBROOK HOSPITAL,450844,34482,4715
PARK PLAZA HOSPITAL,450659,41432,5722
ST LUKES EPISCOPAL HOSPITAL,450193,30883,6437
UNIVERSITY GENERAL HOSPITAL,670019,35489,5812
WEST HOUSTON MEDICAL CENTER,450644,40929,5811
