providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,87146,14427
HARRIS COUNTY HOSPITAL DISTRICT,450289,46435,19101
HOUSTON NORTHWEST MEDICAL CENTER,450638,77058,12024
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,37305,12267
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,30284,10761
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,51212,18961
METHODIST HOSPITALTHE,450358,89715,14964
METHODIST WILLOWBROOK HOSPITAL,450844,56867,10435
ST LUKES EPISCOPAL HOSPITAL,450193,71800,15812
WEST HOUSTON MEDICAL CENTER,450644,55626,12543
