providerName,providerNationalID,avgCoveredCharges,averagePayments
HARRIS COUNTY HOSPITAL DISTRICT,450289,35059,22427
HOUSTON NORTHWEST MEDICAL CENTER,450638,104169,15720
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,43265,16465
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,42274,16439
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,69112,24493
METHODIST HOSPITALTHE,450358,115422,18591
METHODIST WILLOWBROOK HOSPITAL,450844,75877,13256
ST JOSEPH MEDICAL CENTER,450035,60362,19239
ST LUKES EPISCOPAL HOSPITAL,450193,86000,16370
WEST HOUSTON MEDICAL CENTER,450644,68238,16554
