providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,69711,9987
HOUSTON NORTHWEST MEDICAL CENTER,450638,60118,9423
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,26761,10046
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,25316,8424
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,35641,13124
METHODIST HOSPITALTHE,450358,52763,10669
METHODIST WILLOWBROOK HOSPITAL,450844,58210,8773
PARK PLAZA HOSPITAL,450659,87466,10021
ST LUKES EPISCOPAL HOSPITAL,450193,43267,10025
WEST HOUSTON MEDICAL CENTER,450644,46560,10299
