providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,42762,7570
HARRIS COUNTY HOSPITAL DISTRICT,450289,15011,10446
HOUSTON NORTHWEST MEDICAL CENTER,450638,32028,6990
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,21747,7823
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,20223,6088
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,26758,10207
METHODIST HOSPITALTHE,450358,38534,7709
METHODIST WILLOWBROOK HOSPITAL,450844,28361,5973
PARK PLAZA HOSPITAL,450659,47163,7028
ST JOSEPH MEDICAL CENTER,450035,28551,8867
ST LUKES EPISCOPAL HOSPITAL,450193,32544,8149
WEST HOUSTON MEDICAL CENTER,450644,36954,7195
