providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,44999,7420
HARRIS COUNTY HOSPITAL DISTRICT,450289,30778,11936
HOUSTON NORTHWEST MEDICAL CENTER,450638,52636,7890
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,27333,7623
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,28537,7083
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,35004,12078
METHODIST HOSPITALTHE,450358,45934,8358
METHODIST WILLOWBROOK HOSPITAL,450844,44110,7245
ST JOSEPH MEDICAL CENTER,450035,46870,10329
ST LUKES EPISCOPAL HOSPITAL,450193,40275,9580
WEST HOUSTON MEDICAL CENTER,450644,46540,8095
