providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,71353,15204
DOCTORS HOSPITAL TIDWELL,450803,59886,17445
HOUSTON NORTHWEST MEDICAL CENTER,450638,66623,14851
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,39874,15556
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,41668,13030
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,75124,21509
METHODIST HOSPITALTHE,450358,52558,14441
METHODIST WILLOWBROOK HOSPITAL,450844,75205,12917
PARK PLAZA HOSPITAL,450659,74548,15753
ST JOSEPH MEDICAL CENTER,450035,96130,18984
ST LUKES EPISCOPAL HOSPITAL,450193,60549,18778
TEXAS ORTHOPEDIC HOSPITAL,450804,54729,12624
TOPS SURGICAL SPECIALTY HOSPITAL,450774,34146,12084
UNIVERSITY GENERAL HOSPITAL,670019,60102,12660
WEST HOUSTON MEDICAL CENTER,450644,80117,14903
